actual_comm	confered_to	avg_prob
21	44	 0.0175
21	45	 0.1145
22	0	 0.0399
22	1	 0.0489
22	2	 0.1364
22	3	 0.0089
22	4	 0.0123
22	5	 0.0035
22	6	 0.0110
22	7	 0.0144
22	8	 0.0073
22	9	 0.0068
22	10	 0.0177
22	11	 0.0078
22	12	 0.0077
22	13	 0.0100
22	14	 0.0304
22	15	 0.0080
22	16	 0.0056
22	17	 0.0057
22	18	 0.0407
22	19	 0.0057
22	20	 0.0083
22	21	 0.0137
22	22	 0.1882
22	23	 0.0117
22	24	 0.0159
22	25	 0.0032
22	26	 0.0248
22	27	 0.0143
22	28	 0.0214
22	29	 0.0228
22	30	 0.0050
22	31	 0.0075
22	32	 0.0135
22	33	 0.0073
22	34	 0.0080
22	35	 0.0060
22	36	 0.0051
22	37	 0.0487
22	38	 0.0150
22	39	 0.0360
22	40	 0.0072
22	41	 0.0045
22	42	 0.0158
22	43	 0.0207
22	44	 0.0147
22	45	 0.0319
23	0	 0.0126
23	1	 0.0082
23	2	 0.0073
23	3	 0.0118
23	4	 0.0126
23	5	 0.0042
23	6	 0.0171
23	7	 0.0079
23	8	 0.0088
23	9	 0.0093
23	10	 0.0162
23	11	 0.0121
23	12	 0.0139
23	13	 0.0103
23	14	 0.0191
23	15	 0.0089
23	16	 0.0116
23	17	 0.0091
23	18	 0.0082
23	19	 0.0071
23	20	 0.0213
23	21	 0.0102
23	22	 0.0088
23	23	 0.4641
23	24	 0.0168
23	25	 0.0044
23	26	 0.0086
23	27	 0.0268
23	28	 0.0075
23	29	 0.0120
23	30	 0.0050
23	31	 0.0084
23	32	 0.0106
23	33	 0.0124
23	34	 0.0165
23	35	 0.0171
23	36	 0.0058
23	37	 0.0062
23	38	 0.0094
23	39	 0.0051
23	40	 0.0153
23	41	 0.0124
23	42	 0.0173
23	43	 0.0267
23	44	 0.0284
23	45	 0.0069
24	0	 0.0198
24	1	 0.0226
24	2	 0.0091
24	3	 0.0204
24	4	 0.0218
24	5	 0.0062
24	6	 0.0173
24	7	 0.0129
24	8	 0.0101
24	9	 0.0234
24	10	 0.0473
24	11	 0.0340
24	12	 0.0108
24	13	 0.0373
24	14	 0.0239
24	15	 0.0198
24	16	 0.0323
24	17	 0.0111
24	18	 0.0241
24	19	 0.0096
24	20	 0.0124
24	21	 0.0214
24	22	 0.0150
24	23	 0.0191
24	24	 0.0898
24	25	 0.0081
24	26	 0.0235
24	27	 0.0273
24	28	 0.0072
24	29	 0.0197
24	30	 0.0093
24	31	 0.0118
24	32	 0.0529
24	33	 0.0136
24	34	 0.0160
24	35	 0.0099
24	36	 0.0139
24	37	 0.0196
24	38	 0.0345
24	39	 0.0109
24	40	 0.0210
24	41	 0.0065
24	42	 0.0382
24	43	 0.0277
24	44	 0.0481
24	45	 0.0088
25	0	 0.0049
25	1	 0.0064
25	2	 0.0043
25	3	 0.0103
25	4	 0.0077
25	5	 0.0068
25	6	 0.0139
25	7	 0.0103
25	8	 0.0222
25	9	 0.0139
25	10	 0.0144
25	11	 0.0092
25	12	 0.0185
25	13	 0.0126
25	14	 0.0078
25	15	 0.0075
25	16	 0.0080
25	17	 0.0072
25	18	 0.0075
25	19	 0.0147
25	20	 0.0084
25	21	 0.0076
25	22	 0.0039
25	23	 0.0054
25	24	 0.0086
25	25	 0.5847
25	26	 0.0078
25	27	 0.0150
25	28	 0.0039
25	29	 0.0098
25	30	 0.0105
25	31	 0.0093
25	32	 0.0106
25	33	 0.0080
25	34	 0.0138
25	35	 0.0055
25	36	 0.0076
25	37	 0.0040
25	38	 0.0064
25	39	 0.0059
25	40	 0.0077
25	41	 0.0098
25	42	 0.0154
25	43	 0.0069
25	44	 0.0106
25	45	 0.0048
26	0	 0.0276
26	1	 0.0235
26	2	 0.0162
26	3	 0.0123
26	4	 0.0152
26	5	 0.0055
26	6	 0.0178
26	7	 0.0253
26	8	 0.0108
26	9	 0.0113
26	10	 0.0255
26	11	 0.0095
26	12	 0.0116
26	13	 0.0230
26	14	 0.0256
26	15	 0.0098
26	16	 0.0117
26	17	 0.0076
26	18	 0.0301
26	19	 0.0063
26	20	 0.0075
26	21	 0.0109
26	22	 0.0229
26	23	 0.0089
26	24	 0.0216
26	25	 0.0066
26	26	 0.2894
26	27	 0.0282
26	28	 0.0112
26	29	 0.0154
26	30	 0.0061
26	31	 0.0101
26	32	 0.0235
26	33	 0.0126
26	34	 0.0137
26	35	 0.0097
26	36	 0.0063
26	37	 0.0243
26	38	 0.0139
26	39	 0.0313
26	40	 0.0085
26	41	 0.0067
26	42	 0.0322
26	43	 0.0177
26	44	 0.0238
26	45	 0.0110
27	0	 0.0230
27	1	 0.0202
27	2	 0.0120
27	3	 0.0130
27	4	 0.0258
27	5	 0.0050
27	6	 0.0214
27	7	 0.0170
27	8	 0.0133
27	9	 0.0118
27	10	 0.0290
27	11	 0.0100
27	12	 0.0210
27	13	 0.0406
27	14	 0.0346
27	15	 0.0117
27	16	 0.0135
27	17	 0.0053
27	18	 0.0358
27	19	 0.0100
27	20	 0.0119
27	21	 0.0170
27	22	 0.0123
27	23	 0.0279
27	24	 0.0238
27	25	 0.0134
27	26	 0.0264
27	27	 0.1118
27	28	 0.0084
27	29	 0.0244
27	30	 0.0058
27	31	 0.0099
27	32	 0.0226
27	33	 0.0230
27	34	 0.0273
27	35	 0.0179
27	36	 0.0064
27	37	 0.0137
27	38	 0.0087
27	39	 0.0158
27	40	 0.0085
