actual_comm	pred_comm	lstm-3-0	lstm-3-1	lstm-3-2	lstm-3-3	transformer-3-0	transformer-3-1	transformer-3-2	transformer-3-3
0	35	0.012494075	0.012611095	0.0107904645	0.01443959	0.027037708	0.017058473	0.01776442	0.01525854
0	36	0.005338	0.006105283	0.0047117206	0.008148504	0.007880758	0.0065159868	0.007175852	0.0057719937
0	37	0.13177262	0.12844141	0.12695682	0.116143525	0.099970065	0.14093947	0.15555905	0.11833489
0	38	0.007479201	0.006933332	0.007868091	0.010082111	0.008555388	0.007870518	0.007890444	0.00795333
0	39	0.0337896	0.032618817	0.040034227	0.03214312	0.046770185	0.03979402	0.057936065	0.036955044
0	40	0.008600076	0.010699487	0.008859894	0.010615191	0.013253655	0.013708383	0.012969613	0.00981533
0	41	0.011124465	0.013922438	0.010640931	0.016965937	0.02022721	0.011701664	0.015560321	0.013946398
0	42	0.018316772	0.021257252	0.020622024	0.021054834	0.01677655	0.015899312	0.013515747	0.021555373
0	43	0.02516665	0.024727033	0.025299862	0.033432875	0.033245727	0.028802004	0.040571883	0.030192418
0	44	0.016192652	0.020407395	0.022046138	0.020594029	0.01807567	0.016082844	0.014306081	0.01756181
0	45	0.023658758	0.023921566	0.023050338	0.020220919	0.02877789	0.02687997	0.019962884	0.021965735
1	0	0.04940833	0.045536976	0.043931987	0.047717102	0.05065314	0.05067595	0.050866283	0.04944099
1	1	0.10661649	0.11621418	0.115268946	0.07790213	0.06595267	0.08850257	0.085528664	0.08173411
1	2	0.041344672	0.035568733	0.038942523	0.03748513	0.03722498	0.03806934	0.032269932	0.036701
1	3	0.0073988847	0.008418794	0.008267588	0.009438721	0.010460212	0.008050281	0.0093159955	0.0089530945
1	4	0.016790656	0.016901627	0.01649317	0.01642081	0.02360791	0.0148114255	0.021218587	0.017349055
1	5	0.004183089	0.0041508023	0.004378892	0.0057008746	0.0073634223	0.007852634	0.0051931012	0.0047248676
1	6	0.011574445	0.013577865	0.013896025	0.014322871	0.014644406	0.014661667	0.016368404	0.011674059
1	7	0.022575647	0.022696156	0.025288062	0.025444109	0.022175163	0.022647459	0.023882968	0.025044858
1	8	0.0070991106	0.005790396	0.0068893284	0.0077626393	0.00879024	0.0071372017	0.00805895	0.007747534
1	9	0.007162381	0.0060183983	0.006513523	0.0070392927	0.00914842	0.008173945	0.0061082584	0.00869911
1	10	0.019572264	0.023291629	0.023984887	0.024379866	0.020225532	0.02132107	0.0224787	0.02286009
1	11	0.008159751	0.008944754	0.0077941353	0.010405638	0.010995616	0.00867228	0.011426019	0.009108413
1	12	0.0070222123	0.0066571604	0.006727348	0.007513573	0.008907754	0.007530004	0.0065581095	0.007072884
1	13	0.022476738	0.01928519	0.020799994	0.026693393	0.020666255	0.019741856	0.020648502	0.025144193
1	14	0.03779286	0.033759095	0.03384723	0.02934419	0.031717453	0.02930156	0.030062279	0.0321509
1	15	0.0077105956	0.007889074	0.008561788	0.009851811	0.009547614	0.009292895	0.008156972	0.008228527
1	16	0.009203426	0.010015136	0.0076149884	0.01050045	0.01008494	0.008043621	0.0074409777	0.008237077
1	17	0.005303603	0.005051772	0.005678403	0.006565113	0.007924891	0.0055491007	0.00577557	0.0053589605
1	18	0.075539745	0.06988553	0.06637908	0.06750199	0.046870075	0.062464353	0.05937028	0.07436593
1	19	0.0056506926	0.0050741197	0.005744944	0.006332454	0.0079460265	0.0060841646	0.006506231	0.0062211687
1	20	0.008077588	0.0079539325	0.006842772	0.0093129575	0.0143616665	0.00935373	0.008443144	0.01113061
1	21	0.018640589	0.01850115	0.01966618	0.018175952	0.022156524	0.017819282	0.0167731	0.021294354
1	22	0.04959813	0.04582767	0.04651279	0.04909737	0.041683804	0.04067584	0.044512335	0.04746173
1	23	0.008584762	0.009283408	0.008711213	0.012267864	0.011905534	0.010975302	0.011448942	0.010642648
1	24	0.019712541	0.024789872	0.024966722	0.023306055	0.019027453	0.02054222	0.019435696	0.021535669
1	25	0.0047076973	0.0051610973	0.0054437155	0.006684244	0.007729162	0.005346489	0.0062360466	0.0046684565
1	26	0.023952302	0.024052992	0.0250526	0.027542686	0.026467232	0.02839766	0.028444428	0.02740227
1	27	0.023389243	0.023885522	0.027029816	0.022956505	0.02290121	0.023172973	0.02189611	0.023344351
1	28	0.04594355	0.04677842	0.04693939	0.048742536	0.05833297	0.067617804	0.05752434	0.044972178
1	29	0.020708304	0.023983018	0.024342736	0.024714496	0.023674488	0.026527343	0.02714137	0.024163995
1	30	0.0047540143	0.0047838925	0.005887569	0.0056408728	0.0066258307	0.005764503	0.004564858	0.0048757475
1	31	0.0051145214	0.005227925	0.0050085518	0.0072608585	0.008231845	0.004299185	0.0069071483	0.00748189
1	32	0.02666252	0.039327327	0.039613232	0.037619	0.027371611	0.026491841	0.031789117	0.03139103
1	33	0.006739901	0.0056603304	0.006806414	0.007737666	0.008717332	0.00667892	0.0060309987	0.0072449646
1	34	0.009344075	0.007908007	0.0077084615	0.008240178	0.011230836	0.007169133	0.0091589205	0.008402823
1	35	0.009847528	0.00825538	0.0065232804	0.009012562	0.016858587	0.012390379	0.011499717	0.009587259
1	36	0.005888988	0.0066248933	0.0062410072	0.0075916033	0.009093483	0.007990771	0.007304019	0.0062476415
1	37	0.07848111	0.06714127	0.054281317	0.070237204	0.059706576	0.07037588	0.08327227	0.070341535
1	38	0.014810539	0.013569488	0.016018862	0.016882518	0.015011913	0.015404477	0.012528624	0.016709618
1	39	0.02413156	0.02576532	0.022776555	0.020133123	0.03151281	0.027509518	0.034886897	0.027163196
1	40	0.011116242	0.012480711	0.01162498	0.0134415245	0.01816449	0.016050216	0.018811896	0.014545864
