actual_comm	confered_to	avg_prob
10	39	 0.0125
10	40	 0.0197
10	41	 0.0085
10	42	 0.0421
10	43	 0.0246
10	44	 0.0394
10	45	 0.0110
11	0	 0.0083
11	1	 0.0090
11	2	 0.0048
11	3	 0.0218
11	4	 0.0144
11	5	 0.0073
11	6	 0.0119
11	7	 0.0082
11	8	 0.0197
11	9	 0.0316
11	10	 0.0241
11	11	 0.3275
11	12	 0.0105
11	13	 0.0294
11	14	 0.0130
11	15	 0.0202
11	16	 0.0255
11	17	 0.0196
11	18	 0.0092
11	19	 0.0139
11	20	 0.0097
11	21	 0.0187
11	22	 0.0069
11	23	 0.0107
11	24	 0.0252
11	25	 0.0115
11	26	 0.0116
11	27	 0.0120
11	28	 0.0058
11	29	 0.0139
11	30	 0.0204
11	31	 0.0103
11	32	 0.0285
11	33	 0.0124
11	34	 0.0194
11	35	 0.0062
11	36	 0.0159
11	37	 0.0071
11	38	 0.0208
11	39	 0.0064
11	40	 0.0318
11	41	 0.0066
11	42	 0.0178
11	43	 0.0153
11	44	 0.0196
11	45	 0.0054
12	0	 0.0064
12	1	 0.0068
12	2	 0.0044
12	3	 0.0095
12	4	 0.0082
12	5	 0.0060
12	6	 0.0145
12	7	 0.0096
12	8	 0.0228
12	9	 0.0136
12	10	 0.0164
12	11	 0.0121
12	12	 0.4765
12	13	 0.0115
12	14	 0.0122
12	15	 0.0088
12	16	 0.0084
12	17	 0.0090
12	18	 0.0067
12	19	 0.0205
12	20	 0.0131
12	21	 0.0090
12	22	 0.0055
12	23	 0.0137
12	24	 0.0126
12	25	 0.0171
12	26	 0.0100
12	27	 0.0180
12	28	 0.0055
12	29	 0.0108
12	30	 0.0113
12	31	 0.0206
12	32	 0.0125
12	33	 0.0207
12	34	 0.0247
12	35	 0.0119
12	36	 0.0079
12	37	 0.0042
12	38	 0.0094
12	39	 0.0060
12	40	 0.0082
12	41	 0.0184
12	42	 0.0151
12	43	 0.0100
12	44	 0.0141
12	45	 0.0055
13	0	 0.0126
13	1	 0.0186
13	2	 0.0053
13	3	 0.0132
13	4	 0.0102
13	5	 0.0085
13	6	 0.0113
13	7	 0.0281
13	8	 0.0232
13	9	 0.0146
13	10	 0.0312
13	11	 0.0278
13	12	 0.0109
13	13	 0.2395
13	14	 0.0168
13	15	 0.0135
13	16	 0.0128
13	17	 0.0072
13	18	 0.0323
13	19	 0.0119
13	20	 0.0079
13	21	 0.0105
13	22	 0.0088
13	23	 0.0079
13	24	 0.0386
13	25	 0.0103
13	26	 0.0228
13	27	 0.0283
13	28	 0.0064
13	29	 0.0129
13	30	 0.0115
13	31	 0.0082
13	32	 0.0465
13	33	 0.0159
13	34	 0.0213
13	35	 0.0085
13	36	 0.0112
13	37	 0.0106
13	38	 0.0192
13	39	 0.0059
13	40	 0.0097
13	41	 0.0062
13	42	 0.0403
13	43	 0.0406
13	44	 0.0342
13	45	 0.0061
14	0	 0.0411
14	1	 0.0377
14	2	 0.0179
14	3	 0.0123
14	4	 0.0270
14	5	 0.0053
14	6	 0.0209
14	7	 0.0157
14	8	 0.0108
14	9	 0.0133
14	10	 0.0379
14	11	 0.0127
14	12	 0.0111
14	13	 0.0178
14	14	 0.0635
14	15	 0.0110
14	16	 0.0119
14	17	 0.0106
14	18	 0.0300
14	19	 0.0090
14	20	 0.0133
14	21	 0.0243
14	22	 0.0273
14	23	 0.0253
14	24	 0.0259
14	25	 0.0078
14	26	 0.0276
14	27	 0.0411
14	28	 0.0172
14	29	 0.0446
14	30	 0.0101
14	31	 0.0137
14	32	 0.0288
14	33	 0.0132
14	34	 0.0184
14	35	 0.0139
14	36	 0.0076
14	37	 0.0260
14	38	 0.0108
14	39	 0.0243
14	40	 0.0189
14	41	 0.0193
14	42	 0.0330
14	43	 0.0326
14	44	 0.0334
14	45	 0.0244
15	0	 0.0066
15	1	 0.0084
15	2	 0.0048
15	3	 0.0676
15	4	 0.0094
15	5	 0.0067
15	6	 0.0162
15	7	 0.0088
15	8	 0.0107
15	9	 0.0152
15	10	 0.0185
15	11	 0.0228
15	12	 0.0079
15	13	 0.0138
15	14	 0.0100
15	15	 0.3561
15	16	 0.0233
15	17	 0.0220
15	18	 0.0084
15	19	 0.0081
15	20	 0.0094
15	21	 0.0114
15	22	 0.0061
15	23	 0.0111
15	24	 0.0183
15	25	 0.0129
15	26	 0.0096
15	27	 0.0115
15	28	 0.0057
15	29	 0.0139
15	30	 0.0121
15	31	 0.0082
15	32	 0.0141
15	33	 0.0095
15	34	 0.0102
15	35	 0.0055
15	36	 0.0839
15	37	 0.0058
15	38	 0.0137
15	39	 0.0075
15	40	 0.0140
15	41	 0.0053
15	42	 0.0151
15	43	 0.0188
15	44	 0.0153
15	45	 0.0055
16	0	 0.0078
16	1	 0.0096
16	2	 0.0050
16	3	 0.0225
16	4	 0.0139
16	5	 0.0045
16	6	 0.0130
16	7	 0.0099
16	8	 0.0064
16	9	 0.0137
16	10	 0.0205
16	11	 0.0281
16	12	 0.0076
16	13	 0.0150
16	14	 0.0109
16	15	 0.0214
16	16	 0.4482
16	17	 0.0153
16	18	 0.0111
16	19	 0.0078
16	20	 0.0072
16	21	 0.0237
16	22	 0.0073
16	23	 0.0103
16	24	 0.0285
16	25	 0.0080
16	26	 0.0119
16	27	 0.0128
16	28	 0.0050
16	29	 0.0145
16	30	 0.0091
16	31	 0.0063
16	32	 0.0206
16	33	 0.0070
16	34	 0.0089
16	35	 0.0059
16	36	 0.0175
16	37	 0.0071
16	38	 0.0156
16	39	 0.0064
16	40	 0.0134
16	41	 0.0039
16	42	 0.0185
16	43	 0.0116
16	44	 0.0189
16	45	 0.0081
17	0	 0.0063
17	1	 0.0065
17	2	 0.0045
17	3	 0.0353
17	4	 0.0106
17	5	 0.0095
17	6	 0.0091
17	7	 0.0064
17	8	 0.0170
17	9	 0.0231
17	10	 0.0142
17	11	 0.0223
17	12	 0.0091
17	13	 0.0100
17	14	 0.0099
17	15	 0.0205
17	16	 0.0161
17	17	 0.4773
17	18	 0.0056
17	19	 0.0135
17	20	 0.0113
17	21	 0.0146
17	22	 0.0065
17	23	 0.0097
17	24	 0.0125
17	25	 0.0104
17	26	 0.0077
17	27	 0.0073
17	28	 0.0051
17	29	 0.0108
17	30	 0.0150
17	31	 0.0141
17	32	 0.0120
17	33	 0.0079
17	34	 0.0162
17	35	 0.0054
17	36	 0.0180
17	37	 0.0051
17	38	 0.0106
17	39	 0.0068
17	40	 0.0215
17	41	 0.0091
17	42	 0.0101
17	43	 0.0092
17	44	 0.0111
17	45	 0.0053
18	0	 0.0513
18	1	 0.0745
18	2	 0.0473
18	3	 0.0079
18	4	 0.0158
18	5	 0.0033
18	6	 0.0102
18	7	 0.0162
18	8	 0.0044
18	9	 0.0069
18	10	 0.0260
18	11	 0.0080
18	12	 0.0052
18	13	 0.0347
18	14	 0.0301
18	15	 0.0082
18	16	 0.0087
18	17	 0.0048
18	18	 0.1186
18	19	 0.0049
18	20	 0.0051
18	21	 0.0134
18	22	 0.0448
18	23	 0.0068
18	24	 0.0295
18	25	 0.0055
18	26	 0.0290
18	27	 0.0410
18	28	 0.0197
18	29	 0.0115
18	30	 0.0055
18	31	 0.0046
18	32	 0.0323
18	33	 0.0063
18	34	 0.0061
18	35	 0.0074
18	36	 0.0062
18	37	 0.0653
18	38	 0.0128
18	39	 0.0203
18	40	 0.0069
18	41	 0.0038
18	42	 0.0384
18	43	 0.0305
18	44	 0.0317
18	45	 0.0289
19	0	 0.0049
19	1	 0.0055
19	2	 0.0036
19	3	 0.0113
19	4	 0.0058
19	5	 0.0108
19	6	 0.0094
19	7	 0.0083
19	8	 0.0257
19	9	 0.0236
19	10	 0.0119
19	11	 0.0171
19	12	 0.0185
19	13	 0.0129
19	14	 0.0089
19	15	 0.0070
19	16	 0.0092
19	17	 0.0127
19	18	 0.0055
19	19	 0.5250
19	20	 0.0147
19	21	 0.0074
19	22	 0.0050
19	23	 0.0077
19	24	 0.0103
19	25	 0.0139
19	26	 0.0066
19	27	 0.0105
19	28	 0.0051
19	29	 0.0102
19	30	 0.0288
19	31	 0.0121
19	32	 0.0116
19	33	 0.0108
19	34	 0.0207
19	35	 0.0081
19	36	 0.0077
19	37	 0.0035
19	38	 0.0074
19	39	 0.0042
19	40	 0.0114
19	41	 0.0097
19	42	 0.0115
19	43	 0.0077
19	44	 0.0110
19	45	 0.0047
20	0	 0.0086
20	1	 0.0085
20	2	 0.0054
20	3	 0.0116
20	4	 0.0106
20	5	 0.0071
20	6	 0.0175
20	7	 0.0072
20	8	 0.0131
20	9	 0.0297
20	10	 0.0159
20	11	 0.0104
20	12	 0.0137
20	13	 0.0098
20	14	 0.0142
20	15	 0.0109
20	16	 0.0092
20	17	 0.0137
20	18	 0.0078
20	19	 0.0137
20	20	 0.4631
20	21	 0.0153
20	22	 0.0069
20	23	 0.0176
20	24	 0.0131
20	25	 0.0106
20	26	 0.0079
20	27	 0.0143
20	28	 0.0113
20	29	 0.0109
20	30	 0.0103
20	31	 0.0113
20	32	 0.0150
20	33	 0.0122
20	34	 0.0163
20	35	 0.0202
20	36	 0.0090
20	37	 0.0050
20	38	 0.0070
20	39	 0.0059
20	40	 0.0220
20	41	 0.0113
20	42	 0.0130
20	43	 0.0100
20	44	 0.0145
20	45	 0.0074
21	0	 0.0130
21	1	 0.0176
21	2	 0.0099
21	3	 0.0140
21	4	 0.0272
21	5	 0.0046
21	6	 0.0141
21	7	 0.0079
21	8	 0.0063
21	9	 0.0134
21	10	 0.0199
21	11	 0.0177
21	12	 0.0082
21	13	 0.0128
21	14	 0.0169
21	15	 0.0110
21	16	 0.0262
21	17	 0.0144
21	18	 0.0135
21	19	 0.0075
21	20	 0.0096
21	21	 0.3086
21	22	 0.0136
21	23	 0.0101
21	24	 0.0202
21	25	 0.0067
21	26	 0.0134
21	27	 0.0157
21	28	 0.0096
21	29	 0.0298
21	30	 0.0078
21	31	 0.0081
21	32	 0.0231
21	33	 0.0073
21	34	 0.0097
21	35	 0.0070
21	36	 0.0126
21	37	 0.0111
21	38	 0.0125
21	39	 0.0129
21	40	 0.0273
21	41	 0.0047
21	42	 0.0169
21	43	 0.0135
21	44	 0.0179
21	45	 0.0938
22	0	 0.0351
22	1	 0.0514
22	2	 0.1262
22	3	 0.0077
22	4	 0.0138
22	5	 0.0041
22	6	 0.0109
22	7	 0.0152
22	8	 0.0061
22	9	 0.0060
22	10	 0.0176
