community	category	lstm-3-0_lm_ppl	lstm-3-1_lm_ppl	lstm-3-2_lm_ppl	lstm-3-3_lm_ppl	transformer-3-0_lm_ppl	transformer-3-1_lm_ppl	transformer-3-2_lm_ppl	transformer-3-3_lm_ppl	lstm-3_lm_ppl	transformer-3_lm_ppl	lstm-3-0_pca1	lstm-3-0_pca2	lstm-3-1_pca1	lstm-3-1_pca2	lstm-3-2_pca1	lstm-3-2_pca2	lstm-3-3_pca1	lstm-3-3_pca2	transformer-3-0_pca1	transformer-3-0_pca2	transformer-3-1_pca1	transformer-3-1_pca2	transformer-3-2_pca1	transformer-3-2_pca2	transformer-3-3_pca1	transformer-3-3_pca2	lstm-3-0_indisc	lstm-3-1_indisc	lstm-3-2_indisc	lstm-3-3_indisc	transformer-3-0_indisc	transformer-3-1_indisc	transformer-3-2_indisc	transformer-3-3_indisc	lstm-3-0_info_gain	lstm-3-1_info_gain	lstm-3-2_info_gain	lstm-3-3_info_gain	transformer-3-0_info_gain	transformer-3-1_info_gain	transformer-3-2_info_gain	transformer-3-3_info_gain
femalefashionadvice	female-focused	48.948456	47.94321	48.42138	47.65021	57.11214	61.222855	80.86081	56.787228	49.8802	59.24694	-0.0064060385	-0.06477583	0.014401767	0.24894144	0.036855515	-0.05343593	-0.24303402	-0.09424213	-0.19246471	-0.25157967	-0.24754171	0.29204795	-0.35476336	0.22778024	-0.21688466	-0.1814225	0.2326834720114003	0.22890325214551843	0.22768831253051758	0.2608818178591521	0.2857840164847996	0.23409041114475415	0.21215845190960428	0.2311681664508322	1.0190352	1.0404017	1.0301276	1.0467991	1.0373791	0.9677259	0.7327028	1.0433146
food	other	47.250343	46.500927	47.040237	47.199696	54.62169	58.10319	70.91877	54.37892	49.946682	59.2207	-0.27832726	-0.13065381	-0.14966679	0.22058617	-0.096563816	0.0043842974	-0.2616822	-0.09324372	-0.23468708	0.04204937	-0.21589735	-0.09351881	-0.6434115	-0.19541033	-0.2582277	-0.15473075	0.5748096134351648	0.5484852168871008	0.5370713524196459	0.6722714797310207	0.7149534640104874	0.6703999146171238	0.5442469638326893	0.6350565371306046	1.057065	1.0741007	1.0617863	1.0581993	1.0841975	1.0192331	0.83504975	1.0890378
heroesofthestorm	videogames	61.130238	60.01723	60.834038	59.80728	70.79646	74.15412	94.89423	69.76296	63.410114	73.43825	0.33088568	0.19694068	0.046983395	0.026754666	0.14917621	-0.050531503	0.38737538	0.05237404	0.4356391	-0.026696665	0.41434658	0.1620761	0.6719661	0.51578987	0.45858324	0.21610053	0.2599960202756135	0.2588327863942022	0.24708998721578848	0.2640426469885785	0.3087116117062776	0.2976591898047406	0.29302053866179095	0.2555067435554836	1.0372953	1.0565318	1.042346	1.0602407	1.0373152	0.99034613	0.7738958	1.0526825
jailbreak	technology	39.13415	38.487316	38.496395	38.895603	44.964634	46.99978	59.193485	44.306274	42.432922	49.642574	0.61586404	0.0055316	-0.007369466	0.27172375	0.37947863	-0.18315183	0.3464434	-0.5125281	0.39549446	-0.28105736	0.09772266	0.5997064	0.31558064	1.0258232	0.41588858	-0.28734788	0.2670259268387504	0.26375689713851264	0.27285213055817975	0.2928184219028639	0.3130151085231615	0.33358862089074176	0.26672769629436993	0.2708787088808806	1.084294	1.102517	1.102257	1.0909439	1.104036	1.05623	0.8386493	1.1204412
justneckbeardthings	other	45.591797	44.340195	44.85666	44.508762	52.56987	55.200684	68.50177	51.92129	46.48375	55.110897	-0.5380447	-0.032028034	0.032962274	-0.2388779	-0.20071295	0.095796116	-0.19371952	-0.1262041	-0.21339855	0.11377157	-0.13851576	-0.3993854	-0.39172012	-0.7097969	-0.20874348	-0.002445924	0.7846715346626614	0.7418518895688264	0.7406825190005095	0.7787089140518851	0.8809165954589844	0.8290163123089335	0.7761873162311056	0.7497911867888077	1.0195639	1.0483434	1.0362731	1.044373	1.0483361	0.99837345	0.80451787	1.0614315
oculus	technology	59.958164	58.766735	58.593082	58.28203	68.877884	72.56869	92.96572	68.107216	60.325497	70.64013	0.2282516	-0.13472684	0.014917604	-0.023124656	0.13588029	-0.043114148	0.30453902	-0.21189626	0.3257151	-0.32545823	0.13891058	0.37843162	0.4721424	0.41735312	0.3353404	-0.13314028	0.3273900902789572	0.32896373582922894	0.3229594437972359	0.326564768086309	0.40243140510890796	0.3841500489608101	0.31443935891856317	0.30740431080693786	1.0061265	1.0265245	1.0295669	1.0350617	1.025585	0.9734244	0.75985134	1.0371901
pcmasterrace	technology	38.478897	37.359425	38.628147	38.517063	44.963024	46.856754	59.125477	44.246216	39.51195	46.32115	0.13059333	-0.006154315	-0.017529368	0.10025628	0.14865825	-0.07584221	0.42234248	-0.2198876	0.411322	-0.325156	0.356615	0.3711644	0.45097262	0.7320481	0.43997076	-0.08627028	0.6789558659429136	0.6711272778718368	0.6688560402911642	0.6932557147482167	0.7477997489597487	0.7591878642206606	0.6608296269955842	0.67178083502728	1.0268472	1.0576167	1.0228798	1.0258298	1.0302055	0.9885694	0.7834381	1.0468953
photography	other	54.0006	52.69418	53.167446	52.25229	62.171196	65.531	85.80889	61.664913	54.33998	63.880577	0.09632043	-0.25260994	-0.013702197	0.18238892	0.08090006	-0.24439985	0.036618393	-0.11435278	-0.005034426	-0.33619046	-0.21822625	0.31275433	-0.19088176	0.5877556	0.040317085	-0.19952932	0.26643838053164276	0.2549257071121879	0.24822291083957837	0.264762194260307	0.28126146482384723	0.2660348519035008	0.22887209187383237	0.23662229206251062	1.0062848	1.0312331	1.0220536	1.0399541	1.0274948	0.97481465	0.7444517	1.0359308
reddevils	sports	51.45045	50.162415	50.676414	50.330704	59.94047	62.96684	78.407265	59.570908	54.380093	66.005165	0.19758138	0.37082765	0.23844984	-0.18837386	0.13736413	0.314598	0.2348056	0.5319604	0.19984041	0.5611033	0.44735453	-0.4918476	1.1779163	-0.37930742	0.033322036	0.5706507	0.3019186310146166	0.29268861853558087	0.29039938553519873	0.3186262794162916	0.3856354174406632	0.3346835841303286	0.3200791815052862	0.3128727622654127	1.056941	1.0840805	1.0730848	1.0804557	1.1011786	1.0482528	0.8418246	1.10801
relationships	general-interest	43.982594	42.694355	43.294357	42.557816	50.97747	54.358448	71.621864	51.54181	42.98235	50.803265	-0.03599116	-0.13703611	-0.17239775	-0.1649669	-0.21929386	-0.14154755	-0.18049525	-0.028637724	-0.39106748	-0.09883274	-0.3121476	-0.08629104	-0.58875906	-0.13105258	-0.25471032	-0.0953154	0.43472584434177564	0.46053778606912366	0.4577761525693147	0.5265699884165889	0.5799276103144106	0.4747996952222741	0.4219379839689835	0.47814634571904724	0.9772582	1.0067455	0.9927933	1.0099754	0.9965827	0.93459743	0.7093262	0.985671
